Time,Region A,Region B,Region C,Region D,Region E,Region F,Region G,Region H,Region I,Region J
0,level2,level2,level2,level2,level1,level2,level2,level1,level2,level2
1,level2,level2,level2,level2,level1,level2,level2,level1,level2,level2
2,level2,level2,level2,level2,level1,level2,level2,level1,level2,level2
3,level2,level2,level2,level2,level1,level2,level2,level1,level2,level2
4,level2,level2,level2,level2,level1,level2,level2,level1,level2,level2
5,level1,level2,level2,level2,level1,level2,level2,level1,level2,level2
6,level1,level2,level2,level2,level1,level2,level2,level1,level2,level2
7,level1,level2,level2,level2,level1,level2,level2,level1,level2,level2
8,level1,level2,level2,level2,level1,level2,level2,level1,level2,level1
9,level1,level1,level2,level2,level1,level2,level2,level2,level2,level1
10,level1,level1,level2,level2,level1,level2,level2,level2,level2,level1
11,level1,level1,level2,level2,level1,level2,level2,level2,level2,level1
12,level1,level1,level2,level2,level1,level2,level2,level2,level2,level1
13,level1,level1,level2,level2,level1,level2,level2,level2,level2,level1
14,level1,level1,level2,level2,level1,level2,level2,level2,level2,level1
15,level1,level1,level2,level2,level1,level2,level2,level2,level2,level1
16,level1,level1,level2,level2,level1,level2,level2,level2,level2,level1
17,level1,level1,level2,level2,level1,level2,level2,level2,level1,level1
18,level1,level1,level2,level2,level1,level2,level2,level2,level1,level1
19,level1,level1,level2,level2,level1,level2,level2,level2,level1,level1
20,level1,level1,level1,level2,level2,level2,level2,level2,level1,level1
21,level1,level1,level1,level2,level2,level2,level1,level1,level1,level1
22,level1,level1,level1,level2,level2,level2,level1,level1,level1,level1
23,level1,level1,level1,level2,level2,level1,level1,level1,level1,level1
24,level1,level1,level1,level2,level2,level1,level1,level1,level1,level1
25,level1,level1,level1,level2,level2,level1,level1,level1,level1,level1
26,level1,level1,level1,level2,level2,level1,level1,level1,level1,level1
27,level1,level1,level1,level2,level2,level1,level1,level1,level1,level1
28,level1,level1,level1,level2,level2,level1,level1,level1,level1,level1
29,level1,level1,level1,level1,level2,level1,level1,level1,level1,level1
30,level1,level1,level1,level1,level2,level1,level1,level1,level1,level1
31,level1,level1,level1,level1,level1,level1,level1,level1,level1,level1
32,level1,level1,level2,level1,level1,level1,level1,level1,level1,level1
33,level1,level1,level2,level1,level1,level1,level1,level1,level1,level1
34,level1,level1,level2,level1,level1,level1,level1,level1,level1,level1
35,level1,level1,level2,level1,level1,level1,level1,level1,level1,level2
36,level1,level1,level2,level1,level1,level1,level1,level1,level2,level2
37,level1,level1,level2,level1,level1,level1,level1,level1,level2,level2
38,level1,level1,level2,level1,level1,level1,level1,level2,level2,level2
39,level2,level1,level2,level1,level1,level1,level1,level2,level2,level2
40,level2,level1,level2,level1,level1,level1,level1,level2,level2,level2
41,level2,level1,level2,level1,level1,level1,level1,level2,level2,level2
42,level2,level1,level2,level1,level1,level1,level1,level2,level2,level2
43,level2,level1,level2,level1,level1,level1,level1,level2,level2,level2
44,level2,level1,level2,level1,level1,level1,level1,level2,level2,level2
45,level2,level1,level2,level1,level1,level1,level1,level2,level2,level2
46,level2,level1,level2,level1,level1,level1,level1,level2,level2,level2
47,level2,level1,level2,level1,level1,level1,level1,level2,level2,level2
48,level2,level1,level2,level1,level1,level1,level1,level2,level2,level2
49,level2,level1,level2,level1,level1,level1,level1,level2,level2,level2
50,level2,level1,level2,level1,level2,level1,level1,level2,level2,level2
51,level2,level1,level2,level1,level2,level1,level1,level2,level2,level2
52,level2,level1,level1,level1,level2,level1,level1,level2,level2,level2
53,level2,level1,level1,level1,level2,level1,level1,level2,level2,level2
