area A	area B	AG0/AG0	AG0/AG1	AG0/AG2	AG1/AG0	AG1/AG1	AG1/AG2	AG2/AG0	AG2/AG1	AG2/AG2
0	0	0.00200761	0.00053774	3.92704e-05	0.00058391	0.00105699	8.54988e-05	0.000183325	0.000439923	0.000450006
0	1	0.000738556	0.000197823	1.44468e-05	0.000214808	0.000388844	3.14532e-05	6.74414e-05	0.000161838	0.000165548
0	2	0.000271699	7.27751e-05	5.31466e-06	7.90235e-05	0.000143048	1.1571e-05	2.48103e-05	5.95369e-05	6.09016e-05
0	3	9.99529e-05	2.67725e-05	1.95516e-06	2.90712e-05	5.26245e-05	4.25674e-06	9.12721e-06	2.19025e-05	2.24045e-05
0	4	3.67705e-05	9.84903e-06	7.19261e-07	1.06947e-05	1.93594e-05	1.56596e-06	3.3577e-06	8.05745e-06	8.24213e-06
0	5	1.35272e-05	3.62327e-06	2.64602e-07	3.93436e-06	7.12195e-06	5.76087e-07	1.23523e-06	2.96418e-06	3.03212e-06
0	6	4.97635e-06	1.33292e-06	9.73415e-08	1.44737e-06	2.62001e-06	2.1193e-07	4.54416e-07	1.09046e-06	1.11545e-06
0	7	1.8307e-06	4.90356e-07	3.581e-08	5.32457e-07	9.6385e-07	7.79648e-08	1.67171e-07	4.01158e-07	4.10352e-07
0	8	6.73478e-07	1.80392e-07	1.31738e-08	1.9588e-07	3.54581e-07	2.86817e-08	6.14987e-08	1.47578e-07	1.5096e-07
0	9	2.47759e-07	6.63625e-08	4.84636e-09	7.20604e-08	1.30443e-07	1.05514e-08	2.26241e-08	5.42909e-08	5.55352e-08
0	10	0.000738556	0.000197823	1.44468e-05	0.000214808	0.000388844	3.14532e-05	6.74414e-05	0.000161838	0.000165548
0	11	0.000488083	0.000130734	9.54731e-06	0.000141958	0.000256972	2.07862e-05	4.45694e-05	0.000106953	0.000109404
0	12	0.000214569	5.74726e-05	4.19714e-06	6.24072e-05	0.000112969	9.13794e-06	1.95934e-05	4.70181e-05	4.80957e-05
0	13	8.49804e-05	2.27621e-05	1.66229e-06	2.47165e-05	4.47415e-05	3.6191e-06	7.75999e-06	1.86216e-05	1.90484e-05
0	14	3.25114e-05	8.70822e-06	6.35949e-07	9.4559e-06	1.7117e-05	1.38458e-06	2.96878e-06	7.12415e-06	7.28744e-06
0	15	1.22519e-05	3.28168e-06	2.39657e-07	3.56345e-06	6.45052e-06	5.21776e-07	1.11878e-06	2.68473e-06	2.74627e-06
0	16	4.58108e-06	1.22705e-06	8.96096e-08	1.3324e-06	2.4119e-06	1.95096e-07	4.18322e-07	1.00384e-06	1.02685e-06
0	17	1.70511e-06	4.56717e-07	3.33534e-08	4.9593e-07	8.97729e-07	7.26163e-08	1.55703e-07	3.73638e-07	3.82202e-07
0	18	6.32826e-07	1.69503e-07	1.23786e-08	1.84057e-07	3.33178e-07	2.69504e-08	5.77866e-08	1.3867e-07	1.41848e-07
0	19	2.3441e-07	6.27871e-08	4.58525e-09	6.81779e-08	1.23415e-07	9.98292e-09	2.14052e-08	5.13658e-08	5.25432e-08
0	20	0.000271699	7.27751e-05	5.31466e-06	7.90235e-05	0.000143048	1.1571e-05	2.48103e-05	5.95369e-05	6.09016e-05
0	21	0.000214569	5.74726e-05	4.19714e-06	6.24072e-05	0.000112969	9.13794e-06	1.95934e-05	4.70181e-05	4.80957e-05
