# Gives the time variation in efoi(t).
Time,mean,95% CI min,95% CI max,Simulated
0.250000,0.100000,0.100000,0.100000,0.100000
0.750000,0.100000,0.100000,0.100000,0.100000
1.250000,0.100000,0.100000,0.100000,0.100000
1.750000,0.100000,0.100000,0.100000,0.100000
2.250000,0.100000,0.100000,0.100000,0.100000
2.750000,0.100000,0.100000,0.100000,0.100000
3.250000,0.100000,0.100000,0.100000,0.100000
3.750000,0.100000,0.100000,0.100000,0.100000
4.250000,0.100000,0.100000,0.100000,0.100000
4.750000,0.100000,0.100000,0.100000,0.100000
5.250000,0.100000,0.100000,0.100000,0.100000
5.750000,0.100000,0.100000,0.100000,0.100000
6.250000,0.100000,0.100000,0.100000,0.100000
6.750000,0.100000,0.100000,0.100000,0.100000
7.250000,0.100000,0.100000,0.100000,0.100000
7.750000,0.100000,0.100000,0.100000,0.100000
8.250000,0.100000,0.100000,0.100000,0.100000
8.750000,0.100000,0.100000,0.100000,0.100000
9.250000,0.100000,0.100000,0.100000,0.100000
9.750000,0.100000,0.100000,0.100000,0.100000
10.250000,0.100000,0.100000,0.100000,0.100000
10.750000,0.100000,0.100000,0.100000,0.100000
11.250000,0.100000,0.100000,0.100000,0.100000
11.750000,0.100000,0.100000,0.100000,0.100000
12.250000,0.100000,0.100000,0.100000,0.100000
12.750000,0.100000,0.100000,0.100000,0.100000
13.250000,0.100000,0.100000,0.100000,0.100000
13.750000,0.100000,0.100000,0.100000,0.100000
14.250000,0.100000,0.100000,0.100000,0.100000
14.750000,0.100000,0.100000,0.100000,0.100000
15.250000,0.100000,0.100000,0.100000,0.100000
15.750000,0.100000,0.100000,0.100000,0.100000
16.250000,0.100000,0.100000,0.100000,0.100000
16.750000,0.100000,0.100000,0.100000,0.100000
17.250000,0.100000,0.100000,0.100000,0.100000
17.750000,0.100000,0.100000,0.100000,0.100000
18.250000,0.100000,0.100000,0.100000,0.100000
18.750000,0.100000,0.100000,0.100000,0.100000
19.250000,0.100000,0.100000,0.100000,0.100000
19.750000,0.100000,0.100000,0.100000,0.100000
20.250000,0.100000,0.100000,0.100000,0.100000
20.750000,0.100000,0.100000,0.100000,0.100000
21.250000,0.100000,0.100000,0.100000,0.100000
21.750000,0.100000,0.100000,0.100000,0.100000
